model,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price
Golf,1 390 cm³,2010,122 KM,Benzyna,Hatchback,210 000 km,Czarny,Nieuszkodzony,Manualna,Polska,28 500 złdo negocjacji
Golf,1 cm³,1998,Unknown,Benzyna,Hatchback,326 000 km,Niebieski,Nieuszkodzony,Manualna,Polska,4 600 złdo negocjacji
Golf,1 390 cm3,2008,122 KM,Benzyna,Kompakt,213 512 km,Granatowy,Używane,Manualna,Unknown,22 500PLN
Golf,1 598 cm3,2019,115 KM,Diesel,Kombi,186 000 km,Niebieski,Używane,Manualna,Polska,42 900PLN
Golf,1 197 cm3,2014,105 KM,Benzyna,Kombi,148 000 km,Czarny,Używane,Manualna,Holandia,36 000PLN
Golf,1 896 cm3,2003,100 KM,Diesel,Kompakt,298 900 km,Czerwony,Używane,Manualna,Niemcy,6 950PLN
Golf,2 000 cm3,2016,150 KM,Diesel,Kombi,189 000 km,Czarny,Używane,Manualna,Niemcy,46 900PLN
Golf,1 500 cm³,2020,130 KM,Benzyna,Hatchback,26 200 km,Niebieski,Uszkodzony,Manualna,Szwajcaria,55 900 zł
Golf,1 598 cm3,2015,110 KM,Diesel,Kombi,146 690 km,Biały,Używane,Automatyczna,Niemcy,40 900PLN
Golf,1 395 cm3,2016,150 KM,Benzyna,Kombi,138 570 km,Czarny,Używane,Automatyczna,Polska,67 900PLN
Golf,1 896 cm3,2002,90 KM,Diesel,Kombi,430 000 km,Srebrny,Używane,Manualna,Niemcy,4 000PLN
Golf,Unknown,2017,184 KM,Diesel,Kombi,192 141 km,Czarny,Nieuszkodzony,Automatyczna,Niemcy,60 900 złdo negocjacji
Golf,1 598 cm³,2002,110 KM,Benzyna,Hatchback,262 000 km,Zielony,Nieuszkodzony,Manualna,Unknown,3 500 złdo negocjacji
Golf,1 998 cm³,2003,101 KM,Diesel,Hatchback,220 000 km,Czarny,Nieuszkodzony,Manualna,Polska,8 700 zł
Golf,1 390 cm3,2005,80 KM,Benzyna,Auta miejskie,171 000 km,Srebrny,Używane,Manualna,Niemcy,12 500PLN
